student_id,first_name,last_name,subject,quarter1,quarter2,quarter3,quarter4
1,Amelia,Edwards,Math,91,88,92,90
1,Amelia,Edwards,English,86,84,89,87
1,Amelia,Edwards,Science,93,91,95,94
1,Amelia,Edwards,History,88,86,90,88
1,Amelia,Edwards,PE,89,87,91,90
1,Amelia,Edwards,Art,95,92,94,93
2,James,Franklin,Math,87,85,89,86
2,James,Franklin,English,83,80,85,82
2,James,Franklin,Science,90,88,92,89
2,James,Franklin,History,85,82,87,85
2,James,Franklin,PE,92,90,93,91
2,James,Franklin,Art,88,85,90,87
3,Sophia,Garcia,Math,94,92,96,94
3,Sophia,Garcia,English,90,88,92,90
3,Sophia,Garcia,Science,96,94,98,96
3,Sophia,Garcia,History,92,90,94,92
3,Sophia,Garcia,PE,88,86,90,88
3,Sophia,Garcia,Art,93,91,95,93
4,Liam,Harris,Math,82,85,83,81
4,Liam,Harris,English,79,82,80,78
4,Liam,Harris,Science,86,84,88,85
4,Liam,Harris,History,81,79,83,81
4,Liam,Harris,PE,90,88,92,90
4,Liam,Harris,Art,84,82,87,85
5,Isabella,Irving,Math,89,87,91,89
5,Isabella,Irving,English,85,83,88,86
5,Isabella,Irving,Science,91,89,93,91
5,Isabella,Irving,History,87,85,89,87
5,Isabella,Irving,PE,93,91,95,93
5,Isabella,Irving,Art,90,88,92,90
