student_id,first_name,last_name,subject,quarter1,quarter2,quarter3,quarter4
1,John,Smith,Math,0,88,90,87
1,John,Smith,English,78,82,80,81
1,John,Smith,Science,92,89,95,92
1,John,Smith,History,80,83,85,83
1,John,Smith,PE,88,90,89,89
1,John,Smith,Art,91,93,92,92
2,Maria,Garcia,Math,75,78,82,80
2,Maria,Garcia,English,88,90,92,91
2,Maria,Garcia,Science,80,82,84,83
2,Maria,Garcia,History,85,87,89,88
2,Maria,Garcia,PE,92,94,93,95
2,Maria,Garcia,Art,88,89,87,88
3,Ahmed,Hassan,Math,92,94,96,95
3,Ahmed,Hassan,English,85,86,87,88
3,Ahmed,Hassan,Science,88,91,93,92
3,Ahmed,Hassan,History,90,92,91,93
3,Ahmed,Hassan,PE,80,82,83,81
3,Ahmed,Hassan,Art,85,84,86,85
