student_id,first_name,last_name,subject,quarter1,quarter2,quarter3,quarter4
1,Natalie,Ingram,Math,90,88,92,90
1,Natalie,Ingram,English,86,84,89,87
1,Natalie,Ingram,Science,93,91,95,93
1,Natalie,Ingram,History,89,87,91,89
1,Natalie,Ingram,PE,91,89,93,91
1,Natalie,Ingram,Art,92,90,95,93
2,Joshua,James,Math,84,87,85,83
2,Joshua,James,English,80,83,81,79
2,Joshua,James,Science,87,85,89,87
2,Joshua,James,History,82,80,84,82
2,Joshua,James,PE,92,90,94,92
2,Joshua,James,Art,86,84,89,87
3,Olivia,Kim,Math,97,95,99,97
3,Olivia,Kim,English,93,91,95,93
3,Olivia,Kim,Science,99,97,100,98
3,Olivia,Kim,History,95,93,97,95
3,Olivia,Kim,PE,88,86,90,88
3,Olivia,Kim,Art,96,94,98,96
4,Ethan,Lee,Math,81,79,83,81
4,Ethan,Lee,English,77,80,78,76
4,Ethan,Lee,Science,84,82,86,84
4,Ethan,Lee,History,79,77,81,79
4,Ethan,Lee,PE,90,88,92,90
4,Ethan,Lee,Art,83,81,86,84
5,Ava,Moore,Math,88,86,90,88
5,Ava,Moore,English,84,82,87,85
5,Ava,Moore,Science,91,89,93,91
5,Ava,Moore,History,86,84,89,87
5,Ava,Moore,PE,94,92,96,94
5,Ava,Moore,Art,90,88,92,90
